synthetic_name,source_anchor,source_geometry_group,true_category,anchor_strength,perturb_radius_scaled,trust_radius_scaled,source_title,source_url,notes,nearest_anchor,nearest_anchor_true_category,nearest_anchor_distance_scaled,nearest_real_distance_scaled,same_true_category_neighborhood,source_anchor_is_nearest,within_real_manifold_threshold,recomputed_mode_1,recomputed_mode_2,recomputed_mode_3,recomputed_mode_4,recomputed_mode_5,recomputed_mode_6,recomputed_mode_7,recomputed_mode_8,recomputed_mode_9,recomputed_mode_10,recomputed_mode_11,recomputed_mode_12,recomputed_mode_13,recomputed_mode_14,recomputed_mode_15,recomputed_mode_16,recomputed_mode_17,recomputed_mode_18,recomputed_mode_19
2032c_perturb_001,2032c,original_dataset,Low-subsonic,strong,0.32986195,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.32986195,0.32986195,True,True,True,0.234991835072,-0.449839322701,0.103528153428,-0.0633152609281,-0.00713243739278,0.0172760916263,0.00766163507385,-0.00738204073422,0.0132515068859,-0.00880516209002,0.000403356521479,-0.00514049628188,0.00356733752839,-0.000633792155004,0.00290099410573,0.00207984524452,-0.000417208614642,-0.000140282516883,-2.60695504738e-05
2032c_perturb_002,2032c,original_dataset,Low-subsonic,strong,0.32283456,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.32283456,0.32283456,True,True,True,0.167245898729,-0.48134802395,0.098497524084,-0.0604602780325,-0.0135263544363,0.0139515689114,0.00753486817607,-0.00629182083886,0.0132637292387,-0.00917008317521,0.000422029462028,-0.00505021921558,0.00338349635891,-0.00083890933493,0.00297493893943,0.00198873298609,-0.000388947191482,-0.000199602678149,-5.30741452967e-05
2032c_perturb_003,2032c,original_dataset,Low-subsonic,strong,0.32093094,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.32093094,0.32093094,True,True,True,0.146854065721,-0.463915298826,0.121168837593,-0.0641615750283,-0.00821852001173,0.0174915304522,0.00768800000539,-0.00610663930064,0.0135074044951,-0.0090220445944,0.000677497990704,-0.00540330174864,0.00344764382768,-0.000870830552735,0.00280082996683,0.00179269130857,-0.000407198797514,-0.000188671679416,4.51769263374e-06
2032c_perturb_004,2032c,original_dataset,Low-subsonic,strong,0.27315681,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.27315681,0.27315681,True,True,True,0.2166571172,-0.466832792074,0.115861624116,-0.0631251536759,-0.0117550687175,0.0148224080438,0.00728769721985,-0.00796574470548,0.013315693478,-0.00957337251843,0.000684681029677,-0.00537300494729,0.00359901011394,-0.00083066062477,0.00288645279763,0.00198070762906,-0.000420545601382,-0.00020453625664,-6.10452561853e-05
2032c_perturb_005,2032c,original_dataset,Low-subsonic,strong,0.32260060,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.32260060,0.32260060,True,True,True,0.22767847618,-0.440194746125,0.111159685609,-0.0620319961217,-0.00722932545329,0.0153644027373,0.00816425598983,-0.00695990375044,0.0126944153025,-0.00879186005538,0.000392400366525,-0.00566357711532,0.00339530259822,-0.000749108762721,0.00280300046321,0.00191880481434,-0.000272776265852,-0.000178716430543,-4.48086337446e-05
2032c_perturb_006,2032c,original_dataset,Low-subsonic,strong,0.30381243,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.30381243,0.30381243,True,True,True,0.249618821613,-0.457832189802,0.0985646170895,-0.0638116272815,-0.0106176210849,0.0167764540987,0.00746547884386,-0.00578590442545,0.0138218625122,-0.00872381560548,0.000405164270005,-0.00540880115328,0.00342806159271,-0.000795189833867,0.00295204776081,0.00175078261137,-0.000380808173216,-0.000155537580784,-4.41440098684e-05
2032c_perturb_007,2032c,original_dataset,Low-subsonic,strong,0.31857382,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.31857382,0.31857382,True,True,True,0.172471825068,-0.496819385677,0.123267934892,-0.0610717784149,-0.0127860753487,0.017295882014,0.00722443742768,-0.00722507383133,0.0135427271672,-0.00900445606034,0.000403467221158,-0.00510801724107,0.00370382208208,-0.000758977332885,0.00292053953219,0.00200373325372,-0.000271345713376,-0.000226197695124,1.69099979594e-05
2032c_perturb_008,2032c,original_dataset,Low-subsonic,strong,0.32426095,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.32426095,0.32426095,True,True,True,0.154988069473,-0.504923534649,0.112299973925,-0.0630403313619,-0.012526868802,0.0146863355688,0.00632962405045,-0.00716405171691,0.013435049967,-0.00917585753511,0.000194187213165,-0.00522923529068,0.00346910842264,-0.000698486584845,0.00299624728792,0.00200906228581,-0.000335167598152,-0.000183597283399,-1.20598472424e-05
2032c_perturb_009,2032c,original_dataset,Low-subsonic,strong,0.30147343,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.30147343,0.30147343,True,True,True,0.264868765013,-0.454216669921,0.115034834865,-0.0643028184126,-0.0117870546913,0.0182570462617,0.00774959222869,-0.0069422614089,0.0135745966118,-0.00891129225258,0.000475468763888,-0.00508064721494,0.00324626585092,-0.000843164185675,0.0029927200838,0.00199379430677,-0.000299945587702,-0.000164323773793,9.61898345652e-06
2032c_perturb_010,2032c,original_dataset,Low-subsonic,strong,0.32395498,0.33069315,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,Dillner 20-32-C,2032c,Low-subsonic,0.32395498,0.32395498,True,True,True,0.194418408718,-0.447423638089,0.113292345325,-0.0651309452738,-0.0124876950577,0.0165796801057,0.00726918133456,-0.00505491280325,0.0139057801347,-0.00885491031741,0.000572068922973,-0.00564542412006,0.00379382011212,-0.000859390582899,0.00295041127118,0.00206985067004,-0.000280243784046,-0.000157899863512,-5.40667235115e-05
